AÑO	 CIIU	Descripción	Personas trabajadoras con cobertura (promedio)	Total de casos notificados	Casos con días de baja y secuelas incapacitantes	Personas trabajadoras fallecidas	Índice de incidencia [1]	Índice de incidencia de casos mortales [2]
2019	268	Fabricación de soportes ópticos y magnéticos	4.245	375	338	0	79,6	0
2019	271	Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica	10.666	882	787	1	73,8	93,8
2019	272	Fabricación de acumuladores, pilas y baterías primarias	2.008	274	211	0	105,1	0
2019	273	Fabricación de hilos y cables aislados	3.229	296	269	0	83,3	0
2019	274	Fabricación de lámparas eléctricas y equipo de iluminación	1.998	182	170	1	85,1	500,5
2019	275	Fabricación de aparatos de uso doméstico n.c.p.	15.231	1.560	1.412	0	92,7	0
2019	279	Fabricación de equipo eléctrico n.c.p.	5.340	409	355	0	66,5	0
2019	281	Fabricación de maquinaria y equipo de uso general	17.888	1.935	1.659	4	92,7	223,6
2019	282	Fabricación de maquinaria y equipo de uso especial	31.182	3.545	3.086	2	99	64,1
2019	291	Fabricación de vehículos automotores	28.297	1.765	1.307	0	46,2	0
2019	292	"Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques"	5.660	917	781	1	138	176,7
2019	293	Fabricación de partes, piezas y accesorios para vehículos automotores y sus motores	34.134	3.367	2.988	1	87,5	29,3
2019	301	Construcción y reparación de buques y embarcaciones	9.737	898	757	0	77,7	0
2019	302	Fabricación y reparación de locomotoras y de material rodante para transporte ferroviario	732	118	78	0	106,5	0
2019	303	Fabricación y reparación de aeronaves	2.982	76	66	0	22,1	0
2019	309	Fabricación de equipo de transporte n.c.p.	4.004	339	307	0	76,7	0
2019	310	Fabricación de muebles y colchones	19.888	2.138	1.926	0	96,8	0
2019	321	Fabricación de joyas, “bijouterie” y artículos conexos	470	30	28	0	59,5	0
2019	322	Fabricación de instrumentos de música	173	11	5	0	28,9	0
2019	323	Fabricación de artículos de deporte	880	54	53	0	60,2	0
2019	324	Fabricación de juegos y juguetes	918	91	83	0	90,4	0
2019	329	Industrias manufactureras n.c.p.	7.892	725	658	1	83,4	126,7
2019	331	Reparación y mantenimiento de máquinas y equipo	11.789	1.058	965	3	81,9	254,5
2019	332	Instalación de maquinaria y equipos industriales	2.017	160	146	2	72,4	991,7
2019	351	Generación, transporte y distribución de energía eléctrica	61.345	3.282	3.069	7	50	114,1
2019	352	Fabricación de gas y distribución de combustibles gaseosos por tuberías	6.701	240	213	0	31,8	0
2019	353	Suministro de vapor y aire acondicionado	34	5	5	0	146	0
2019	360	Captación, depuración y distribución de agua	24.090	1.291	1.231	3	51,1	124,5
2019	370	Servicios de depuración de aguas residuales, alcantarillado y cloacas	35.673	5.017	4.593	7	128,8	196,2
2019	381	Recolección, transporte, tratamiento y disposición final de residuos	16.665	3.651	3.367	5	202	300
2019	382	Recuperación de materiales y desechos	12.762	1.908	1.778	0	139,3	0
2019	390	Descontaminación y otros servicios de gestión de residuos	2.957	583	540	0	182,6	0
2019	410	Construcción de edificios y sus partes	212.206	27.189	25.719	39	121,2	183,8
