AÑO; CIIU;Descripción;Personas trabajadoras con cobertura (promedio);Total de casos notificados;Casos con días de baja y secuelas incapacitantes;Personas trabajadoras fallecidas;Índice de incidencia [1];Índice de incidencia de casos mortales [2];
2021;139;Fabricación de productos textiles n.c.p.;26.127;2.096;1.914;2;73.300;76.600;
2021;141;Confección de prendas de vestir. excepto prendas de piel;30.802;1.467;1.372;0;44.500;0.000;
2021;142;Terminación y teñido de pieles; fabricación de artículos de piel;47;0;0;0;0.000;0.000
2021;143;Fabricación de prendas de vestir de punto;3.300;192;178;0;53.900;0.000;
2021;149;Servicios industriales para la industria confeccionista;167;21;9;0;53.800;0.000;
2021;151;Curtido y terminación de cueros; fabricación de artículos de marroquinería y talabartería;8.439;1.143;920;1;109.000;118.500
2021;152;Fabricación de calzado y de sus partes;14.088;712;655;2;46.500;142.000;
2021;161;Aserrado y cepillado de madera;11.589;1.353;1.274;5;109.900;431.400;
2021;162;Fabricación de productos de madera. corcho. paja y materiales trenzables;13.503;1.522;1.416;2;104.900;148.100;
2021;170;Fabricación de papel y de productos de papel;32.577;2.989;2.632;2;80.800;61.400;
2021;181;Impresión y servicios relacionados con la impresión;19.042;1.193;1.072;0;56.300;0.000;
2021;182;Reproducción de grabaciones;225;7;6;0;26.700;0.000;
2021;191;Fabricación de productos de hornos de “coque”;2.427;129;124;0;51.100;0.000;
2021;192;Fabricación de productos de la refinación del petróleo;4.227;154;129;0;30.500;0.000;
2021;201;Fabricación de sustancias químicas básicas;13.549;995;821;4;60.600;295.200;
2021;202;Fabricación de productos químicos n.c.p.;54.945;3.396;3.074;3;55.900;54.600;
2021;203;Fabricación de fibras manufacturadas;544;83;60;0;110.200;0.000;
2021;204;Servicios industriales para la fabricación de sustancias y productos químicos;35;5;4;0;115.400;0.000;
2021;210;Fabricación de productos farmacéuticos. sustancias químicas medicinales y productos botánicos de uso farmacéutico;41.291;1.794;1.666;1;40.300;24.200;
2021;221;Fabricación de productos de caucho;12.918;1.410;1.284;2;99.400;154.800;
2021;222;Fabricación de productos de plástico;51.599;5.403;4.848;2;94.000;38.800;
2021;231;Fabricación de vidrio y productos de vidrio;6.940;907;855;1;123.200;144.100;
